ACFT_ICAO_TYPE,ENGINE_ICAO,PERCENTAGE,FUEL_FLOW_TO,TYPE,WTC,SURFACE,MAX_OPE_ALTI,MAX_OPE_MACH_NUM,MAX_TO_WEIGHT,OPE_EMPTY_WEIGHT,ACFT_SPAN,ACFT_LENGTH,ENGINE_NUM,TRAIN_ON,MAX_OPE_SPEED,CONF_IND,ENGINE_TYPE
A318,CFM56-5B9/3,52.46,0.956,JET,M,122.6,39800,0.82,68000,40900,34.1,31.45,2,0,471.519238548941,0.88,0
A319,V2524-A5,20.42,1.042,JET,M,122.6,39800,0.82,70000,39000,34.1,33.84,2,0,471.519238548941,0.875,0
A320,CFM56-5B4/P,41.98,1.132,JET,M,122.6,41100,0.82,78000,43700,34.1,37.57,2,1,471.519238548941,1,0
A321,V2533-A5,57.58,1.426,JET,M,122.6,39800,0.82,83000,47000,34.15,44.5,2,0,471.519238548941,0.884,0
A332,Trent 772,77.59,3.15,JET,H,361.6,41500,0.86,230000,125964,60.304,58.372,2,1,494.520177014743,1,0
A333,Trent 772,79.19,3.15,JET,H,361.6,41100,0.86,212000,126000,60.304,63.689,2,0,494.520177014743,0.891,0
A337,Trent 772,100,3.15,JET,H,361.6,41100,0.86,227000,125000,60.3,63.1,2,0,494.520177014743,0.89,0
A338,Trent7000-72,100,2.478,JET,H,361.6,41100,0.86,242000,129000,64,58.81,2,0,494.520177014743,0.849,0
A339,Trent7000-72,100,2.478,JET,H,361.6,41100,0.86,251000,129000,64,63.66,2,0,494.520177014743,0.854,0
AT72,PW124B-HS14SF,100,0.1807,TURBOPROP,M,61,25000,0.55,21500,12300,27.05,27.166,2,0,331.600303535509,0.899,1
AT73,PW127-HS247F,100,0.18774166666,TURBOPROP,M,61,25000,0.55,21500,12300,27.05,27.166,2,0,331.600303535509,0.899,1
AT75,PW127F-HS568F,100,0.18969166,TURBOPROP,M,61,25000,0.55,22000,12850,27.05,27.166,2,0,331.600303535509,0.9,1
AT76,PW127M-HS568F,100,0.18969166,TURBOPROP,M,61,25000,0.55,22800,13200,27.05,27.166,2,1,331.600303535509,1,1
B732,JT8D-15A,34.31,1.115,JET,M,91.0449792,37000,0.84,52390,27125,28.35,30.53,2,0,483.019707781842,0.885,0
B733,CFM56-3C-1,63.28,1.154,JET,M,91.0449792,37000,0.82,61236,32904,28.88,33.4,2,0,471.519238548941,0.876,0
B734,CFM56-3C-1,96.83,1.154,JET,M,91.0449792,37000,0.82,68040,33190,28.88,36.4,2,0,471.519238548941,0.876,0
B735,CFM56-3C-1,86.09,1.154,JET,M,91.0449792,37000,0.82,60555,31312,28.88,31.01,2,0,471.519238548941,0.882,0
B736,CFM56-7B22,26.92,1.021,JET,M,124.58297664,41000,0.82,65544,36378,34.32,31.24,2,0,471.519238548941,0.879,0
B737,CFM56-7B26,19.21,1.221,JET,M,124.58297664,41000,0.82,70080,37648,35.79,33.63,2,0,471.519238548941,0.891,0
B738,CFM56-7B26E,38.29,1.213,JET,M,124.58297664,41000,0.82,79016,41413,35.79,39.47,2,1,471.519238548941,1,0
B739,CFM56-7B27E,38.55,1.293,JET,M,124.58297664,41000,0.82,85139,44676,35.79,42.11,2,0,471.519238548941,0.886,0
CRJ7,CF34-8C5B1,94.29,0.606,JET,M,70.6,41000,0.78,34019.4,20069,23.24,32.51,2,1,448.518300083139,1,0
CRJ9,CF34-8C5,73.63,0.6481,JET,M,71.1,41000,0.78,36514,21845,24.9,36.19,2,0,448.518300083139,0.886,0
CRJX,CF34-8C5A1,100,0.665,JET,M,77.4,41000,0.78,41640,23188,26.2,39.1,2,1,448.518300083139,1,0
E170,CF34-8E5,79.86,0.6518,JET,M,72.72,41000,0.82,35990,21121,26,29.9,2,1,471.519238548941,1,0
E190,CF34-10E5,54.31,0.789,JET,M,92.53,41000,0.82,47790,27737,28.72,36.24,2,1,471.519238548941,1,0
E195,CF34-10E5A1,41.18,0.866,JET,M,92.53,41000,0.82,48790,28567,28.72,38.67,2,0,471.519238548941,0.888,0
E75L,CF34-8E5,100,0.6518,JET,M,72.72,41000,0.82,38790,21870,26,31.68,2,0,471.519238548941,0.894,0
E75S,CF34-8E5,100,0.6518,JET,M,72.72,41000,0.82,37500,21870,26,31.68,2,0,471.519238548941,0.894,0
A20N,PW1127G-JM ,,0.8,JET,M,123,39800,0.82,73500,44300,35.8,37.57,2,,471.519238548941,,0
A21N,CFM56-5B1-2,,1.318,JET,M,122.4,39800,0.82,93500,50100,35.8,44.5,2,,471.519238548941,,0
A310,PW4156A ,,2.586,JET,H,219,41100,0.84,164000,79200,43.9,46.66,2,,482,,0
A343,CFM56-5C ,,1.456,JET,H,363.1,41450,0.86,276500,131000,60.3,63.69,4,,493,,0
A359,Trent XWB-84,,2.819,JET,H,442,43100,0.89,283000,142400,64.75,66.8,2,,513,,0
B38M,LEAP-1B27,,1.014,JET,M,125,41000,0.79,82600,41145,35.92,39.47,2,,453,,0
B39M,LEAP-1B27,,1.014,JET,M,125,41000,0.79,88300,42493,35.92,42.16,2,,453,,0
B752,PW2040,,1.752,JET,M,185.25,42650,0.86,115660,52430,38,47.3,2,,496,,0
B763,PW4062,,2.725,JET,H,283.3,43100,0.84,158000,86100,47.57,54.94,2,,486,,0
B772,GE90-92B,,3.523,JET,H,427.8,43100,0.87,297550,138100,60.93,63.73,2,,511,,0
B77W,GE90-115B,,4.6,JET,H,436.8,43100,0.87,351533,167829,64.8,73.86,2,,511,,0
B773,PW4098,,3.245,JET,H,436.8,43100,0.87,299370,160530,60.93,73.86,2,,511,,0
B788,GeNX1B-70,,2.051,JET,H,377,43100,0.9,227900,120000,60.12,56.72,2,,516,,0
B789,Genx-1B74/75 ,,2.704,JET,H,377,43100,0.9,254700,129000,60.12,62.81,2,,516,,0
BCS1,PW1524G ,,0.79,JET,M,112.3,41000,0.82,63100,35220,35.1,35,2,,470,,0
BCS3,PW1524G-3 ,,0.79,JET,M,112.3,41000,0.82,70900,37080,35.1,38.71,2,,470,,0
C56X,PW545C ,,0.1,TURBOPROP,M,30,45000,0.78,9163,5806,17.17,16,2,,441,,1
E290,PW1922G,,0.76,JET,M,103,41000,0.82,56400,33000,33.72,36.25,2,,473,,0
